Année,Juridiction,Valeur (1 000 dollars),Secteur
2019,Yukon,0,Fabrication de produits en bois
2020,Canada,1678470,Exploitation forestière
2020,Canada,3599638,Fabrication du papier
2020,Canada,5226839,Fabrication de produits en bois
2020,Alberta,215743,Exploitation forestière
2020,Alberta,256961,Fabrication du papier
2020,Alberta,694631,Fabrication de produits en bois
2020,Colombie-Britannique,743800,Exploitation forestière
2020,Colombie-Britannique,554481,Fabrication du papier
2020,Colombie-Britannique,1514688,Fabrication de produits en bois
2020,Manitoba,11214,Exploitation forestière
2020,Manitoba,0,Fabrication du papier
2020,Manitoba,116283,Fabrication de produits en bois
2020,Nouveau-Brunswick,106367,Exploitation forestière
2020,Nouveau-Brunswick,244204,Fabrication du papier
2020,Nouveau-Brunswick,0,Fabrication de produits en bois
2020,Terre-Neuve-et-Labrador,9087,Exploitation forestière
2020,Terre-Neuve-et-Labrador,0,Fabrication du papier
2020,Terre-Neuve-et-Labrador,0,Fabrication de produits en bois
2020,Territoires du Nord-Ouest,0,Exploitation forestière
2020,Territoires du Nord-Ouest,0,Fabrication du papier
2020,Territoires du Nord-Ouest,0,Fabrication de produits en bois
2020,Nouvelle-Écosse,24879,Exploitation forestière
2020,Nouvelle-Écosse,0,Fabrication du papier
2020,Nouvelle-Écosse,0,Fabrication de produits en bois
2020,Nunavut,0,Exploitation forestière
2020,Nunavut,0,Fabrication du papier
2020,Nunavut,0,Fabrication de produits en bois
2020,Ontario,193487,Exploitation forestière
2020,Ontario,1227534,Fabrication du papier
2020,Ontario,1006377,Fabrication de produits en bois
2020,Île-du-Prince-Édouard,1800,Exploitation forestière
2020,Île-du-Prince-Édouard,0,Fabrication du papier
2020,Île-du-Prince-Édouard,0,Fabrication de produits en bois
2020,Québec,352789,Exploitation forestière
2020,Québec,1108260,Fabrication du papier
2020,Québec,1452831,Fabrication de produits en bois
2020,Saskatchewan,19150,Exploitation forestière
2020,Saskatchewan,0,Fabrication du papier
2020,Saskatchewan,93537,Fabrication de produits en bois
2020,Yukon,0,Exploitation forestière
2020,Yukon,0,Fabrication du papier
2020,Yukon,0,Fabrication de produits en bois
2021,Canada,1795660,Exploitation forestière
2021,Canada,3805694,Fabrication du papier
2021,Canada,5977729,Fabrication de produits en bois
2021,Alberta,212524,Exploitation forestière
2021,Alberta,263260,Fabrication du papier
2021,Alberta,739580,Fabrication de produits en bois
2021,Colombie-Britannique,835410,Exploitation forestière
2021,Colombie-Britannique,575128,Fabrication du papier
2021,Colombie-Britannique,1656298,Fabrication de produits en bois
2021,Manitoba,11454,Exploitation forestière
2021,Manitoba,0,Fabrication du papier
2021,Manitoba,123557,Fabrication de produits en bois
2021,Nouveau-Brunswick,119886,Exploitation forestière
2021,Nouveau-Brunswick,0,Fabrication du papier
2021,Nouveau-Brunswick,0,Fabrication de produits en bois
2021,Terre-Neuve-et-Labrador,9704,Exploitation forestière
2021,Terre-Neuve-et-Labrador,0,Fabrication du papier
2021,Terre-Neuve-et-Labrador,0,Fabrication de produits en bois
2021,Territoires du Nord-Ouest,4,Exploitation forestière
2021,Territoires du Nord-Ouest,0,Fabrication du papier
2021,Territoires du Nord-Ouest,0,Fabrication de produits en bois
2021,Nouvelle-Écosse,27009,Exploitation forestière
2021,Nouvelle-Écosse,0,Fabrication du papier
2021,Nouvelle-Écosse,0,Fabrication de produits en bois
2021,Nunavut,0,Exploitation forestière
2021,Nunavut,0,Fabrication du papier
2021,Nunavut,0,Fabrication de produits en bois
2021,Ontario,186845,Exploitation forestière
2021,Ontario,1333431,Fabrication du papier
2021,Ontario,1230591,Fabrication de produits en bois
2021,Île-du-Prince-Édouard,2033,Exploitation forestière
2021,Île-du-Prince-Édouard,0,Fabrication du papier
2021,Île-du-Prince-Édouard,0,Fabrication de produits en bois
2021,Québec,368231,Exploitation forestière
2021,Québec,1140758,Fabrication du papier
2021,Québec,1718248,Fabrication de produits en bois
2021,Saskatchewan,22164,Exploitation forestière
2021,Saskatchewan,0,Fabrication du papier
2021,Saskatchewan,108335,Fabrication de produits en bois
2021,Yukon,0,Exploitation forestière
2021,Yukon,0,Fabrication du papier
2021,Yukon,0,Fabrication de produits en bois
2022,Canada,1799081,Exploitation forestière
2022,Canada,4091603,Fabrication du papier
2022,Canada,6275856,Fabrication de produits en bois
2022,Alberta,213064,Exploitation forestière
2022,Alberta,295817,Fabrication du papier
2022,Alberta,764220,Fabrication de produits en bois
2022,Colombie-Britannique,821524,Exploitation forestière
2022,Colombie-Britannique,0,Fabrication du papier
2022,Colombie-Britannique,1646300,Fabrication de produits en bois
2022,Manitoba,16856,Exploitation forestière
2022,Manitoba,0,Fabrication du papier
2022,Manitoba,0,Fabrication de produits en bois
2022,Nouveau-Brunswick,124656,Exploitation forestière
2022,Nouveau-Brunswick,0,Fabrication du papier
2022,Nouveau-Brunswick,0,Fabrication de produits en bois
2022,Terre-Neuve-et-Labrador,10304,Exploitation forestière
2022,Terre-Neuve-et-Labrador,0,Fabrication du papier
2022,Terre-Neuve-et-Labrador,0,Fabrication de produits en bois
2022,Territoires du Nord-Ouest,0,Exploitation forestière
2022,Territoires du Nord-Ouest,0,Fabrication du papier
2022,Territoires du Nord-Ouest,0,Fabrication de produits en bois
2022,Nouvelle-Écosse,27343,Exploitation forestière
2022,Nouvelle-Écosse,0,Fabrication du papier
2022,Nouvelle-Écosse,93608,Fabrication de produits en bois
2022,Nunavut,0,Exploitation forestière
2022,Nunavut,0,Fabrication du papier
2022,Nunavut,0,Fabrication de produits en bois
2022,Ontario,188718,Exploitation forestière
2022,Ontario,1393777,Fabrication du papier
2022,Ontario,0,Fabrication de produits en bois
2022,Île-du-Prince-Édouard,2279,Exploitation forestière
2022,Île-du-Prince-Édouard,0,Fabrication du papier
2022,Île-du-Prince-Édouard,0,Fabrication de produits en bois
2022,Québec,366106,Exploitation forestière
2022,Québec,1265572,Fabrication du papier
2022,Québec,1891501,Fabrication de produits en bois
2022,Saskatchewan,28132,Exploitation forestière
2022,Saskatchewan,0,Fabrication du papier
2022,Saskatchewan,0,Fabrication de produits en bois
2022,Yukon,92,Exploitation forestière
2022,Yukon,0,Fabrication du papier
2022,Yukon,0,Fabrication de produits en bois
2023,Canada,1746846,Exploitation forestière
2023,Canada,3977707,Fabrication du papier
2023,Canada,5789780,Fabrication de produits en bois
2023,Alberta,234632,Exploitation forestière
2023,Alberta,295095,Fabrication du papier
2023,Alberta,747400,Fabrication de produits en bois
2023,Colombie-Britannique,751880,Exploitation forestière
2023,Colombie-Britannique,555391,Fabrication du papier
2023,Colombie-Britannique,1523351,Fabrication de produits en bois
2023,Manitoba,14371,Exploitation forestière
2023,Manitoba,0,Fabrication du papier
2023,Manitoba,148801,Fabrication de produits en bois
2023,Nouveau-Brunswick,116983,Exploitation forestière
2023,Nouveau-Brunswick,0,Fabrication du papier
2023,Nouveau-Brunswick,0,Fabrication de produits en bois
2023,Terre-Neuve-et-Labrador,9722,Exploitation forestière
2023,Terre-Neuve-et-Labrador,0,Fabrication du papier
2023,Terre-Neuve-et-Labrador,0,Fabrication de produits en bois
2023,Territoires du Nord-Ouest,0,Exploitation forestière
2023,Territoires du Nord-Ouest,0,Fabrication de produits en bois
2023,Nouvelle-Écosse,26726,Exploitation forestière
2023,Nouvelle-Écosse,61120,Fabrication du papier
2023,Nouvelle-Écosse,89995,Fabrication de produits en bois
2023,Nunavut,0,Exploitation forestière
2023,Nunavut,0,Fabrication de produits en bois
2023,Ontario,188304,Exploitation forestière
2023,Ontario,1386856,Fabrication du papier
2023,Ontario,1183188,Fabrication de produits en bois
2023,Île-du-Prince-Édouard,2225,Exploitation forestière
2023,Île-du-Prince-Édouard,0,Fabrication du papier
2023,Île-du-Prince-Édouard,0,Fabrication de produits en bois
2023,Québec,372055,Exploitation forestière
2023,Québec,1208640,Fabrication du papier
2023,Québec,1692540,Fabrication de produits en bois
2023,Saskatchewan,29719,Exploitation forestière
2023,Saskatchewan,0,Fabrication du papier
2023,Saskatchewan,95663,Fabrication de produits en bois
2023,Yukon,211,Exploitation forestière
2023,Yukon,0,Fabrication de produits en bois
