Année,Juridiction,Industrie,Produit,Valeur (1 000 dollars)
2015,Nunavut,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2015,Nunavut,Fabrication de produits en bois,Scieries et préservation du bois,0
2015,Nunavut,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2015,Nunavut,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2015,Ontario,Fabrication de produits en bois,Fabrication totale de produits du bois,6220937
2015,Ontario,Fabrication de produits en bois,Scieries et préservation du bois,2342752
2015,Ontario,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",2039858
2015,Ontario,Fabrication de produits en bois,Autres fabrications de produits du bois,1838327
2015,Île-du-Prince-Édouard,Fabrication de produits en bois,Fabrication totale de produits du bois,20418
2015,Île-du-Prince-Édouard,Fabrication de produits en bois,Scieries et préservation du bois,0
2015,Île-du-Prince-Édouard,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",16516
2015,Île-du-Prince-Édouard,Fabrication de produits en bois,Autres fabrications de produits du bois,3902
2015,Québec,Fabrication de produits en bois,Fabrication totale de produits du bois,12283484
2015,Québec,Fabrication de produits en bois,Scieries et préservation du bois,6632544
2015,Québec,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",3083378
2015,Québec,Fabrication de produits en bois,Autres fabrications de produits du bois,2567562
2015,Saskatchewan,Fabrication de produits en bois,Fabrication totale de produits du bois,624654
2015,Saskatchewan,Fabrication de produits en bois,Scieries et préservation du bois,0
2015,Saskatchewan,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",624654
2015,Saskatchewan,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2015,Yukon,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2015,Yukon,Fabrication de produits en bois,Scieries et préservation du bois,0
2015,Yukon,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2015,Yukon,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2016,Canada,Fabrication de produits en bois,Fabrication totale de produits du bois,51555937
2016,Canada,Fabrication de produits en bois,Scieries et préservation du bois,30497474
2016,Canada,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",13070260
2016,Canada,Fabrication de produits en bois,Autres fabrications de produits du bois,7988203
2016,Alberta,Fabrication de produits en bois,Fabrication totale de produits du bois,6610111
2016,Alberta,Fabrication de produits en bois,Scieries et préservation du bois,3592436
2016,Alberta,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",2290548
2016,Alberta,Fabrication de produits en bois,Autres fabrications de produits du bois,727127
2016,Colombie-Britannique,Fabrication de produits en bois,Fabrication totale de produits du bois,19033696
2016,Colombie-Britannique,Fabrication de produits en bois,Scieries et préservation du bois,13848346
2016,Colombie-Britannique,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",3234500
2016,Colombie-Britannique,Fabrication de produits en bois,Autres fabrications de produits du bois,1950850
2016,Manitoba,Fabrication de produits en bois,Fabrication totale de produits du bois,78720
2016,Manitoba,Fabrication de produits en bois,Scieries et préservation du bois,0
2016,Manitoba,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",78720
2016,Manitoba,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2016,Nouveau-Brunswick,Fabrication de produits en bois,Fabrication totale de produits du bois,584776
2016,Nouveau-Brunswick,Fabrication de produits en bois,Scieries et préservation du bois,0
2016,Nouveau-Brunswick,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",584776
2016,Nouveau-Brunswick,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2016,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2016,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Scieries et préservation du bois,0
2016,Terre-Neuve-et-Labrador,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2016,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2016,Territoires du Nord-Ouest,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2016,Territoires du Nord-Ouest,Fabrication de produits en bois,Scieries et préservation du bois,0
2016,Territoires du Nord-Ouest,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2016,Territoires du Nord-Ouest,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2016,Nouvelle-Écosse,Fabrication de produits en bois,Fabrication totale de produits du bois,129346
2016,Nouvelle-Écosse,Fabrication de produits en bois,Scieries et préservation du bois,0
2016,Nouvelle-Écosse,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",129346
2016,Nouvelle-Écosse,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2016,Nunavut,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2016,Nunavut,Fabrication de produits en bois,Scieries et préservation du bois,0
2016,Nunavut,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2016,Nunavut,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2016,Ontario,Fabrication de produits en bois,Fabrication totale de produits du bois,7129887
2016,Ontario,Fabrication de produits en bois,Scieries et préservation du bois,2723426
2016,Ontario,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",2552662
2016,Ontario,Fabrication de produits en bois,Autres fabrications de produits du bois,1853799
2016,Île-du-Prince-Édouard,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2016,Île-du-Prince-Édouard,Fabrication de produits en bois,Scieries et préservation du bois,0
2016,Île-du-Prince-Édouard,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2016,Île-du-Prince-Édouard,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2016,Québec,Fabrication de produits en bois,Fabrication totale de produits du bois,13378195
2016,Québec,Fabrication de produits en bois,Scieries et préservation du bois,7067046
2016,Québec,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",3434278
2016,Québec,Fabrication de produits en bois,Autres fabrications de produits du bois,2876871
2016,Saskatchewan,Fabrication de produits en bois,Fabrication totale de produits du bois,724814
2016,Saskatchewan,Fabrication de produits en bois,Scieries et préservation du bois,0
2016,Saskatchewan,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",724814
2016,Saskatchewan,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2016,Yukon,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2016,Yukon,Fabrication de produits en bois,Scieries et préservation du bois,0
2016,Yukon,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2016,Yukon,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2017,Canada,Fabrication de produits en bois,Fabrication totale de produits du bois,58302418
2017,Canada,Fabrication de produits en bois,Scieries et préservation du bois,34503912
2017,Canada,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",15389394
2017,Canada,Fabrication de produits en bois,Autres fabrications de produits du bois,8409112
2017,Alberta,Fabrication de produits en bois,Fabrication totale de produits du bois,7623179
2017,Alberta,Fabrication de produits en bois,Scieries et préservation du bois,4236646
2017,Alberta,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",2761294
2017,Alberta,Fabrication de produits en bois,Autres fabrications de produits du bois,625239
2017,Colombie-Britannique,Fabrication de produits en bois,Fabrication totale de produits du bois,21454209
2017,Colombie-Britannique,Fabrication de produits en bois,Scieries et préservation du bois,15708968
2017,Colombie-Britannique,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",3618894
2017,Colombie-Britannique,Fabrication de produits en bois,Autres fabrications de produits du bois,2126347
2017,Manitoba,Fabrication de produits en bois,Fabrication totale de produits du bois,713128
2017,Manitoba,Fabrication de produits en bois,Scieries et préservation du bois,394656
2017,Manitoba,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",90062
2017,Manitoba,Fabrication de produits en bois,Autres fabrications de produits du bois,228410
2017,Nouveau-Brunswick,Fabrication de produits en bois,Fabrication totale de produits du bois,3077557
2017,Nouveau-Brunswick,Fabrication de produits en bois,Scieries et préservation du bois,2172876
2017,Nouveau-Brunswick,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",711794
2017,Nouveau-Brunswick,Fabrication de produits en bois,Autres fabrications de produits du bois,192887
2017,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2017,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Scieries et préservation du bois,0
2017,Terre-Neuve-et-Labrador,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2017,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2017,Territoires du Nord-Ouest,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2017,Territoires du Nord-Ouest,Fabrication de produits en bois,Scieries et préservation du bois,0
2017,Territoires du Nord-Ouest,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2017,Territoires du Nord-Ouest,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2017,Nouvelle-Écosse,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2017,Nouvelle-Écosse,Fabrication de produits en bois,Scieries et préservation du bois,0
2017,Nouvelle-Écosse,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2017,Nouvelle-Écosse,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2017,Nunavut,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2017,Nunavut,Fabrication de produits en bois,Scieries et préservation du bois,0
2017,Nunavut,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2017,Nunavut,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2017,Ontario,Fabrication de produits en bois,Fabrication totale de produits du bois,8359607
2017,Ontario,Fabrication de produits en bois,Scieries et préservation du bois,3248088
2017,Ontario,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",3117892
2017,Ontario,Fabrication de produits en bois,Autres fabrications de produits du bois,1993627
2017,Île-du-Prince-Édouard,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2017,Île-du-Prince-Édouard,Fabrication de produits en bois,Scieries et préservation du bois,0
