Année,Juridiction,Insecte espèce,Superficie défoliée (hectares)
2011,Colombie-Britannique,Dendroctone du pin ponderosa,4624907
2011,Colombie-Britannique,Spongieuse,0
2011,Colombie-Britannique,"Dendroctone de l'épinette",19346
2011,Colombie-Britannique,"Tordeuse des bourgeons de l'épinette",0
2011,Colombie-Britannique,Diprion de Swaine,0
2011,Colombie-Britannique,Tordeuse bisannuelle de l’épinette,178206
2011,Colombie-Britannique,"Tordeuse occidentale de l'épinette",616512
2012,Colombie-Britannique,Noctuelle décolorée,0
2012,Colombie-Britannique,Diprion du sapin,0
2012,Colombie-Britannique,"Tordeuse à tête noire de l'Ouest",34849
2012,Colombie-Britannique,Arpenteuse de Bruce,0
2012,Colombie-Britannique,Livrée des forêts,198932
2012,Colombie-Britannique,Arpenteuse de la pruche,8103
2012,Colombie-Britannique,Tordeuse du pin gris,0
2012,Colombie-Britannique,Tordeuse du tremble,575
2012,Colombie-Britannique,Dendroctone du pin ponderosa,3016228
2012,Colombie-Britannique,Spongieuse,0
2012,Colombie-Britannique,"Dendroctone de l'épinette",42862
2012,Colombie-Britannique,"Tordeuse des bourgeons de l'épinette",0
2012,Colombie-Britannique,Diprion de Swaine,0
2012,Colombie-Britannique,Tordeuse bisannuelle de l’épinette,74891
2012,Colombie-Britannique,"Tordeuse occidentale de l'épinette",456745
2013,Colombie-Britannique,Noctuelle décolorée,0
2013,Colombie-Britannique,Diprion du sapin,0
2013,Colombie-Britannique,"Tordeuse à tête noire de l'Ouest",30700
2013,Colombie-Britannique,Arpenteuse de Bruce,0
2013,Colombie-Britannique,Livrée des forêts,581910
2013,Colombie-Britannique,Arpenteuse de la pruche,2020
2013,Colombie-Britannique,Tordeuse du pin gris,0
2013,Colombie-Britannique,Tordeuse du tremble,2184
2013,Colombie-Britannique,Dendroctone du pin ponderosa,2973935
2013,Colombie-Britannique,Spongieuse,0
2013,Colombie-Britannique,"Dendroctone de l'épinette",18693
2013,Colombie-Britannique,"Tordeuse des bourgeons de l'épinette",0
2013,Colombie-Britannique,Diprion de Swaine,0
2013,Colombie-Britannique,Tordeuse bisannuelle de l’épinette,88760
2013,Colombie-Britannique,"Tordeuse occidentale de l'épinette",128037
2014,Colombie-Britannique,Noctuelle décolorée,0
2014,Colombie-Britannique,Diprion du sapin,0
2014,Colombie-Britannique,"Tordeuse à tête noire de l'Ouest",4238
2014,Colombie-Britannique,Arpenteuse de Bruce,0
2014,Colombie-Britannique,Livrée des forêts,711297
2014,Colombie-Britannique,Arpenteuse de la pruche,0
2014,Colombie-Britannique,Tordeuse du pin gris,0
2014,Colombie-Britannique,Tordeuse du tremble,937962
2014,Colombie-Britannique,Dendroctone du pin ponderosa,2208687
2014,Colombie-Britannique,Spongieuse,0
2014,Colombie-Britannique,"Dendroctone de l'épinette",288892
2014,Colombie-Britannique,"Tordeuse des bourgeons de l'épinette",0
2014,Colombie-Britannique,Diprion de Swaine,0
2014,Colombie-Britannique,Tordeuse bisannuelle de l’épinette,164979
2014,Colombie-Britannique,"Tordeuse occidentale de l'épinette",44608
2015,Colombie-Britannique,Noctuelle décolorée,0
2015,Colombie-Britannique,Diprion du sapin,0
2015,Colombie-Britannique,"Tordeuse à tête noire de l'Ouest",301
2015,Colombie-Britannique,Arpenteuse de Bruce,22452
2015,Colombie-Britannique,Livrée des forêts,609999
2015,Colombie-Britannique,Arpenteuse de la pruche,0
2015,Colombie-Britannique,Tordeuse du pin gris,0
2015,Colombie-Britannique,Tordeuse du tremble,0
2015,Colombie-Britannique,Dendroctone du pin ponderosa,326477
2015,Colombie-Britannique,Spongieuse,0
2015,Colombie-Britannique,"Dendroctone de l'épinette",194050
2015,Colombie-Britannique,"Tordeuse des bourgeons de l'épinette",0
2015,Colombie-Britannique,Diprion de Swaine,0
2015,Colombie-Britannique,Tordeuse bisannuelle de l’épinette,0
2015,Colombie-Britannique,"Tordeuse occidentale de l'épinette",9135
2016,Colombie-Britannique,Noctuelle décolorée,0
2016,Colombie-Britannique,Diprion du sapin,0
2016,Colombie-Britannique,"Tordeuse à tête noire de l'Ouest",209
2016,Colombie-Britannique,Arpenteuse de Bruce,241
2016,Colombie-Britannique,Livrée des forêts,183597
2016,Colombie-Britannique,Arpenteuse de la pruche,0
2016,Colombie-Britannique,Tordeuse du pin gris,0
2016,Colombie-Britannique,Tordeuse du tremble,0
2016,Colombie-Britannique,Dendroctone du pin ponderosa,177706
2016,Colombie-Britannique,Spongieuse,0
2016,Colombie-Britannique,"Dendroctone de l'épinette",281497
2016,Colombie-Britannique,"Tordeuse des bourgeons de l'épinette",250
2016,Colombie-Britannique,Diprion de Swaine,0
2016,Colombie-Britannique,Tordeuse bisannuelle de l’épinette,160143
2016,Colombie-Britannique,"Tordeuse occidentale de l'épinette",3426
2017,Colombie-Britannique,Noctuelle décolorée,0
2017,Colombie-Britannique,Diprion du sapin,0
2017,Colombie-Britannique,"Tordeuse à tête noire de l'Ouest",0
2017,Colombie-Britannique,Arpenteuse de Bruce,4456
2017,Colombie-Britannique,Livrée des forêts,0
2017,Colombie-Britannique,Arpenteuse de la pruche,0
2017,Colombie-Britannique,Tordeuse du pin gris,0
2017,Colombie-Britannique,Tordeuse du tremble,1521
2017,Colombie-Britannique,Dendroctone du pin ponderosa,119089
2017,Colombie-Britannique,Spongieuse,0
2017,Colombie-Britannique,"Dendroctone de l'épinette",501873
