Année,Juridiction,"Nombre d'emplois",Secteur
2008,Alberta,9590,Fabrication de produits en bois
2008,Colombie-Britannique,14060,Foresterie et exploitation forestière
2008,Colombie-Britannique,11535,Fabrication du papier
2008,Colombie-Britannique,7480,Activités de soutien à la foresterie
2008,Colombie-Britannique,28330,Fabrication de produits en bois
2008,Manitoba,450,Foresterie et exploitation forestière
2008,Manitoba,1635,Fabrication du papier
2008,Manitoba,540,Activités de soutien à la foresterie
2008,Manitoba,4265,Fabrication de produits en bois
2008,Nouveau-Brunswick,2835,Foresterie et exploitation forestière
2008,Nouveau-Brunswick,3105,Fabrication du papier
2008,Nouveau-Brunswick,1045,Activités de soutien à la foresterie
2008,Nouveau-Brunswick,4105,Fabrication de produits en bois
2008,Terre-Neuve-et-Labrador,675,Foresterie et exploitation forestière
2008,Terre-Neuve-et-Labrador,995,Fabrication du papier
2008,Terre-Neuve-et-Labrador,215,Activités de soutien à la foresterie
2008,Terre-Neuve-et-Labrador,420,Fabrication de produits en bois
2008,Territoires du Nord-Ouest,15,Foresterie et exploitation forestière
2008,Territoires du Nord-Ouest,0,Fabrication du papier
2008,Territoires du Nord-Ouest,190,Activités de soutien à la foresterie
2008,Territoires du Nord-Ouest,0,Fabrication de produits en bois
2008,Nouvelle-Écosse,1735,Foresterie et exploitation forestière
2008,Nouvelle-Écosse,2320,Fabrication du papier
2008,Nouvelle-Écosse,595,Activités de soutien à la foresterie
2008,Nouvelle-Écosse,3365,Fabrication de produits en bois
2008,Nunavut,0,Foresterie et exploitation forestière
2008,Nunavut,0,Fabrication du papier
2008,Nunavut,0,Activités de soutien à la foresterie
2008,Nunavut,0,Fabrication de produits en bois
2008,Ontario,6215,Foresterie et exploitation forestière
2008,Ontario,24420,Fabrication du papier
2008,Ontario,2595,Activités de soutien à la foresterie
2008,Ontario,20670,Fabrication de produits en bois
2008,Île-du-Prince-Édouard,45,Foresterie et exploitation forestière
2008,Île-du-Prince-Édouard,105,Fabrication du papier
2008,Île-du-Prince-Édouard,20,Activités de soutien à la foresterie
2008,Île-du-Prince-Édouard,230,Fabrication de produits en bois
2008,Québec,13095,Foresterie et exploitation forestière
2008,Québec,22865,Fabrication du papier
2008,Québec,4930,Activités de soutien à la foresterie
2008,Québec,29750,Fabrication de produits en bois
2008,Saskatchewan,420,Foresterie et exploitation forestière
2008,Saskatchewan,195,Fabrication du papier
2008,Saskatchewan,1205,Activités de soutien à la foresterie
2008,Saskatchewan,1215,Fabrication de produits en bois
2008,Yukon,20,Foresterie et exploitation forestière
2008,Yukon,0,Fabrication du papier
2008,Yukon,10,Activités de soutien à la foresterie
2008,Yukon,15,Fabrication de produits en bois
2009,Canada,35045,Foresterie et exploitation forestière
2009,Canada,64945,Fabrication du papier
2009,Canada,22045,Activités de soutien à la foresterie
2009,Canada,88000,Fabrication de produits en bois
2009,Alberta,2320,Foresterie et exploitation forestière
2009,Alberta,2735,Fabrication du papier
2009,Alberta,1875,Activités de soutien à la foresterie
2009,Alberta,9020,Fabrication de produits en bois
2009,Colombie-Britannique,10155,Foresterie et exploitation forestière
2009,Colombie-Britannique,10075,Fabrication du papier
2009,Colombie-Britannique,7240,Activités de soutien à la foresterie
2009,Colombie-Britannique,23180,Fabrication de produits en bois
2009,Manitoba,350,Foresterie et exploitation forestière
2009,Manitoba,1435,Fabrication du papier
2009,Manitoba,555,Activités de soutien à la foresterie
2009,Manitoba,3450,Fabrication de produits en bois
