Année,Juridiction,Type de commerce,Groupe de produits de base,Produit,Quantité
2022,Canada,Importations,Produits bruts du bois,Contreplaqué (mètres cubes),6078
2022,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),787627
2022,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),2816
2022,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2595020
2022,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",427171
2022,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),620202
2022,Canada,Importations,Produits fabriqués en bois,Grumes (mètres cubes),244835
2022,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),83359
2022,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),458006
2022,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),1265797
2022,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",849727
2022,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),82651503
2023,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),2802362
2023,Canada,Importations,Produits bruts du bois,Contreplaqué (mètres cubes),30911
2023,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),980739
2023,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),2373
2023,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2373053
2023,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",486359
2023,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),531283
2023,Canada,Importations,Produits fabriqués en bois,Grumes (mètres cubes),245526
2023,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),80440
2023,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),398144
2023,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),1139415
2023,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",866816
2023,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),81529545
2024,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),2915995
2024,Canada,Importations,Produits bruts du bois,Contreplaqué (mètres cubes),23792
2024,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),745738
2024,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),3372
2024,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2644876
2024,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",534344
2024,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),498908
2024,Canada,Importations,Produits fabriqués en bois,Grumes (mètres cubes),167687
2024,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),82054
2024,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),464699
2024,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),1358317
2024,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",764180
2024,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),67477001
