Année,Juridiction,Secteur,Employé(e)s
2006,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,0
2006,Terre-Neuve-et-Labrador,Fabrication de produits en bois,0
2006,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2006,Territoires du Nord-Ouest,Fabrication du papier,0
2006,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2006,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2006,Nouvelle-Écosse,Foresterie et exploitation forestière,0
2006,Nouvelle-Écosse,Fabrication du papier,1687
2006,Nouvelle-Écosse,Activités de soutien à la foresterie,376
2006,Nouvelle-Écosse,Fabrication de produits en bois,2582
2006,Nunavut,Foresterie et exploitation forestière,0
2006,Nunavut,Fabrication du papier,0
2006,Nunavut,Activités de soutien à la foresterie,0
2006,Nunavut,Fabrication de produits en bois,0
2006,Ontario,Foresterie et exploitation forestière,6048
2006,Ontario,Fabrication du papier,30214
2006,Ontario,Activités de soutien à la foresterie,1157
2006,Ontario,Fabrication de produits en bois,26369
2006,Île-du-Prince-Édouard,Foresterie et exploitation forestière,0
2006,Île-du-Prince-Édouard,Fabrication du papier,0
2006,Île-du-Prince-Édouard,Activités de soutien à la foresterie,32
2006,Île-du-Prince-Édouard,Fabrication de produits en bois,0
2006,Québec,Foresterie et exploitation forestière,13216
2006,Québec,Fabrication du papier,27962
2006,Québec,Activités de soutien à la foresterie,3573
2006,Québec,Fabrication de produits en bois,42510
2006,Saskatchewan,Foresterie et exploitation forestière,611
2006,Saskatchewan,Fabrication du papier,0
2006,Saskatchewan,Activités de soutien à la foresterie,690
2006,Saskatchewan,Fabrication de produits en bois,1744
2006,Yukon,Foresterie et exploitation forestière,0
2006,Yukon,Fabrication du papier,0
2006,Yukon,Activités de soutien à la foresterie,0
2006,Yukon,Fabrication de produits en bois,0
2007,Canada,Foresterie et exploitation forestière,39441
2007,Canada,Fabrication du papier,79380
2007,Canada,Activités de soutien à la foresterie,13021
2007,Canada,Fabrication de produits en bois,124189
2007,Alberta,Foresterie et exploitation forestière,2537
2007,Alberta,Fabrication du papier,3553
2007,Alberta,Activités de soutien à la foresterie,1849
2007,Alberta,Fabrication de produits en bois,13261
2007,Colombie-Britannique,Foresterie et exploitation forestière,14739
2007,Colombie-Britannique,Fabrication du papier,11924
2007,Colombie-Britannique,Activités de soutien à la foresterie,4578
2007,Colombie-Britannique,Fabrication de produits en bois,33918
2007,Manitoba,Foresterie et exploitation forestière,0
2007,Manitoba,Fabrication du papier,0
2007,Manitoba,Activités de soutien à la foresterie,0
2007,Manitoba,Fabrication de produits en bois,4097
2007,Nouveau-Brunswick,Foresterie et exploitation forestière,0
2007,Nouveau-Brunswick,Fabrication du papier,3553
2007,Nouveau-Brunswick,Activités de soutien à la foresterie,0
2007,Nouveau-Brunswick,Fabrication de produits en bois,5765
2007,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,0
