Year,Jurisdiction,Cause,Area (hectares),Number
2017,Nova Scotia,Human activity,573,177
2018,Nova Scotia,Human activity,197,190
2018,Nova Scotia,Natural cause,2,4
2018,Nova Scotia,Unspecified,0,2
2019,Nova Scotia,Human activity,134,137
2019,Nova Scotia,Natural cause,1,2
2019,Nova Scotia,Unspecified,2,4
2020,Nova Scotia,Human activity,678,161
2020,Nova Scotia,Natural cause,18,16
2020,Nova Scotia,Unspecified,1,1
2021,Nova Scotia,Human activity,192,107
2021,Nova Scotia,Natural cause,5,6
2022,Nova Scotia,Human activity,3357,118
2022,Nova Scotia,Natural cause,1,3
2022,Nova Scotia,Unspecified,25,31
2023,Nova Scotia,Human activity,25036,219
2023,Nova Scotia,Natural cause,57,1
2024,Nova Scotia,Human activity,47,82
2024,Nova Scotia,Natural cause,3,3
2000,Ontario,Human activity,1421,443
2000,Ontario,Natural cause,6343,201
2000,Ontario,Unspecified,1505,15
2001,Ontario,Human activity,1590,546
2001,Ontario,Natural cause,14008,1047
2001,Ontario,Unspecified,1124,19
2002,Ontario,Human activity,2352,439
2002,Ontario,Natural cause,178042,703
2002,Ontario,Unspecified,1851,21
2003,Ontario,Human activity,8398,477
2003,Ontario,Natural cause,309985,519
2003,Ontario,Unspecified,835,48
2004,Ontario,Human activity,1588,309
2004,Ontario,Natural cause,120,113
2004,Ontario,Unspecified,210,15
2005,Ontario,Human activity,3168,593
2005,Ontario,Natural cause,39139,1358
2005,Ontario,Unspecified,218,30
2006,Ontario,Human activity,2113,500
2006,Ontario,Natural cause,145303,1761
2006,Ontario,Unspecified,2627,32
2007,Ontario,Human activity,33217,566
2007,Ontario,Natural cause,6747,533
2007,Ontario,Unspecified,714,30
2008,Ontario,Human activity,207,205
2008,Ontario,Natural cause,1194,118
2008,Ontario,Unspecified,17,21
2009,Ontario,Human activity,376,252
2009,Ontario,Natural cause,20308,121
2009,Ontario,Unspecified,179,19
2010,Ontario,Human activity,2616,542
2010,Ontario,Natural cause,10109,363
2010,Ontario,Unspecified,3354,31
2011,Ontario,Human activity,2452,460
2011,Ontario,Natural cause,632087,847
2011,Ontario,Unspecified,1858,34
2012,Ontario,Human activity,43676,619
2012,Ontario,Natural cause,107978,986
