Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2020,Canada,Imports,Primary Wood Products,Logs (cubic metres),2893662
2020,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),890325
2020,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),27358
2020,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2356731
2020,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),637996
2020,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),480717
2020,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),128264
2020,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),381360
2020,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),1100368
2020,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),865702
2020,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),57679099
2021,Canada,Imports,Primary Wood Products,Logs (cubic metres),2971441
2021,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),836481
2021,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),15546
2021,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2485637
2021,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),1020929
2021,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),625296
2021,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),123936
2021,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),484685
2021,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),1425646
2021,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),1029906
2021,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),73148568
2022,Canada,Imports,Primary Wood Products,Logs (cubic metres),2569675
2022,Canada,Imports,Primary Wood Products,Plywood (cubic metres),6078
2022,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),787627
2022,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),2816
2022,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2595020
2022,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),427171
2022,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),620202
2022,Canada,Imports,Wood-Fabricated Materials,Logs (cubic metres),244835
2022,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),83359
2022,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),458006
2022,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),1265797
2022,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),849727
2022,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),82651503
2023,Canada,Imports,Primary Wood Products,Logs (cubic metres),2802362
2023,Canada,Imports,Primary Wood Products,Plywood (cubic metres),30911
2023,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),980739
2023,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),2373
2023,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2373053
2023,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),486359
2023,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),531283
2023,Canada,Imports,Wood-Fabricated Materials,Logs (cubic metres),245526
2023,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),80440
2023,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),398144
2023,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),1139415
2023,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),866816
2023,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),81529545
2024,Canada,Imports,Primary Wood Products,Logs (cubic metres),2915995
2024,Canada,Imports,Primary Wood Products,Plywood (cubic metres),23792
2024,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),745738
2024,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),3372
2024,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2644876
2024,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),534344
2024,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),498908
2024,Canada,Imports,Wood-Fabricated Materials,Logs (cubic metres),167687
2024,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),82054
2024,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),464699
2024,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),1358317
2024,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),764180
2024,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),67477001
