Year,Jurisdiction,Trade Type,Commodity Group,Product,Value (dollars)
2022,Canada,Imports,Wood-Fabricated Materials,Particleboard,203590562
2022,Canada,Imports,Wood-Fabricated Materials,Plywood,784356895
2022,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,390738024
2022,Canada,Imports,Wood-Fabricated Materials,Veneer,239022787
2023,Canada,Imports,Primary Wood Products,Logs,317345131
2023,Canada,Imports,Primary Wood Products,Plywood,6373398
2023,Canada,Imports,Primary Wood Products,Pulpwood,76207373
2023,Canada,Imports,Pulp and Paper Products,Newsprint,4572260
2023,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,4069522056
2023,Canada,Imports,Pulp and Paper Products,Wood pulp,509822185
2023,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,342625551
2023,Canada,Imports,Wood-Fabricated Materials,Logs,40320240
2023,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,81406040
2023,Canada,Imports,Wood-Fabricated Materials,Particleboard,181922683
2023,Canada,Imports,Wood-Fabricated Materials,Plywood,564434927
2023,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,328662925
2023,Canada,Imports,Wood-Fabricated Materials,Veneer,255546421
2024,Canada,Imports,Primary Wood Products,Logs,321819936
2024,Canada,Imports,Primary Wood Products,Plywood,5246441
2024,Canada,Imports,Primary Wood Products,Pulpwood,65382150
2024,Canada,Imports,Pulp and Paper Products,Newsprint,5450776
2024,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,4451050368
2024,Canada,Imports,Pulp and Paper Products,Wood pulp,547732901
2024,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,383129723
2024,Canada,Imports,Wood-Fabricated Materials,Logs,31226459
2024,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,95353158
2024,Canada,Imports,Wood-Fabricated Materials,Particleboard,182662784
2024,Canada,Imports,Wood-Fabricated Materials,Plywood,629928718
2024,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,269746634
2024,Canada,Imports,Wood-Fabricated Materials,Veneer,244338530
