Year,Jurisdiction,Trade Type,Commodity Group,Product,Value (dollars)
2021,Canada,Exports,Pulp and Paper Products,Newsprint,1354085192
2021,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,4816164503
2021,Canada,Exports,Pulp and Paper Products,Wood pulp,7295682464
2021,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,417414836
2021,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,4828459763
2021,Canada,Exports,Wood-Fabricated Materials,Particleboard,319007599
2021,Canada,Exports,Wood-Fabricated Materials,Plywood,651795099
2021,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,16434499887
2021,Canada,Exports,Wood-Fabricated Materials,Veneer,517570541
2022,Canada,Exports,Primary Wood Products,Logs,684417531
2022,Canada,Exports,Primary Wood Products,Pulpwood,32330771
2022,Canada,Exports,Pulp and Paper Products,Newsprint,1828670099
2022,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,5879453154
2022,Canada,Exports,Pulp and Paper Products,Wood pulp,8478207298
2022,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,431010925
2022,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,4020392207
2022,Canada,Exports,Wood-Fabricated Materials,Particleboard,368400052
2022,Canada,Exports,Wood-Fabricated Materials,Plywood,707421820
2022,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,13644930339
2022,Canada,Exports,Wood-Fabricated Materials,Veneer,583451352
2023,Canada,Exports,Primary Wood Products,Logs,639088426
2023,Canada,Exports,Primary Wood Products,Pulpwood,24511862
2023,Canada,Exports,Pulp and Paper Products,Newsprint,1701103635
2023,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,5379227068
2023,Canada,Exports,Pulp and Paper Products,Wood pulp,7154460821
2023,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,328028575
2023,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,2520977421
2023,Canada,Exports,Wood-Fabricated Materials,Particleboard,331664702
2023,Canada,Exports,Wood-Fabricated Materials,Plywood,659447717
2023,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,8461064933
2023,Canada,Exports,Wood-Fabricated Materials,Veneer,439800985
2024,Canada,Exports,Primary Wood Products,Logs,570924945
2024,Canada,Exports,Primary Wood Products,Pulpwood,17603080
2024,Canada,Exports,Pulp and Paper Products,Newsprint,1528880497
2024,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,5524389583
2024,Canada,Exports,Pulp and Paper Products,Wood pulp,7467611353
2024,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,348977747
2024,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,2896777997
2024,Canada,Exports,Wood-Fabricated Materials,Particleboard,356775611
2024,Canada,Exports,Wood-Fabricated Materials,Plywood,668476782
2024,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,8742830697
2024,Canada,Exports,Wood-Fabricated Materials,Veneer,452662235
