Year,Jurisdiction,Industry,Product,"Value (1,000 dollars)"
2016,Ontario,Wood product manufacturing,Other wood product manufacturing,1853799
2016,Prince Edward Island,Wood product manufacturing,Total wood product manufacturing,0
2016,Prince Edward Island,Wood product manufacturing,Sawmills and wood preservation,0
2016,Prince Edward Island,Wood product manufacturing,Veneer plywood and engineered wood product,0
2016,Prince Edward Island,Wood product manufacturing,Other wood product manufacturing,0
2016,Quebec,Wood product manufacturing,Total wood product manufacturing,13378195
2016,Quebec,Wood product manufacturing,Sawmills and wood preservation,7067046
2016,Quebec,Wood product manufacturing,Veneer plywood and engineered wood product,3434278
2016,Quebec,Wood product manufacturing,Other wood product manufacturing,2876871
2016,Saskatchewan,Wood product manufacturing,Total wood product manufacturing,724814
2016,Saskatchewan,Wood product manufacturing,Sawmills and wood preservation,0
2016,Saskatchewan,Wood product manufacturing,Veneer plywood and engineered wood product,724814
2016,Saskatchewan,Wood product manufacturing,Other wood product manufacturing,0
2016,Yukon,Wood product manufacturing,Total wood product manufacturing,0
2016,Yukon,Wood product manufacturing,Sawmills and wood preservation,0
2016,Yukon,Wood product manufacturing,Veneer plywood and engineered wood product,0
2016,Yukon,Wood product manufacturing,Other wood product manufacturing,0
2017,Canada,Wood product manufacturing,Total wood product manufacturing,58302418
2017,Canada,Wood product manufacturing,Sawmills and wood preservation,34503912
2017,Canada,Wood product manufacturing,Veneer plywood and engineered wood product,15389394
2017,Canada,Wood product manufacturing,Other wood product manufacturing,8409112
2017,Alberta,Wood product manufacturing,Total wood product manufacturing,7623179
2017,Alberta,Wood product manufacturing,Sawmills and wood preservation,4236646
2017,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product,2761294
2017,Alberta,Wood product manufacturing,Other wood product manufacturing,625239
2017,British Columbia,Wood product manufacturing,Total wood product manufacturing,21454209
2017,British Columbia,Wood product manufacturing,Sawmills and wood preservation,15708968
2017,British Columbia,Wood product manufacturing,Veneer plywood and engineered wood product,3618894
2017,British Columbia,Wood product manufacturing,Other wood product manufacturing,2126347
2017,Manitoba,Wood product manufacturing,Total wood product manufacturing,713128
2017,Manitoba,Wood product manufacturing,Sawmills and wood preservation,394656
2017,Manitoba,Wood product manufacturing,Veneer plywood and engineered wood product,90062
2017,Manitoba,Wood product manufacturing,Other wood product manufacturing,228410
2017,New Brunswick,Wood product manufacturing,Total wood product manufacturing,3077557
2017,New Brunswick,Wood product manufacturing,Sawmills and wood preservation,2172876
2017,New Brunswick,Wood product manufacturing,Veneer plywood and engineered wood product,711794
2017,New Brunswick,Wood product manufacturing,Other wood product manufacturing,192887
2017,Newfoundland and Labrador,Wood product manufacturing,Total wood product manufacturing,0
2017,Newfoundland and Labrador,Wood product manufacturing,Sawmills and wood preservation,0
2017,Newfoundland and Labrador,Wood product manufacturing,Veneer plywood and engineered wood product,0
2017,Newfoundland and Labrador,Wood product manufacturing,Other wood product manufacturing,0
2017,Northwest Territories,Wood product manufacturing,Total wood product manufacturing,0
2017,Northwest Territories,Wood product manufacturing,Sawmills and wood preservation,0
2017,Northwest Territories,Wood product manufacturing,Veneer plywood and engineered wood product,0
2017,Northwest Territories,Wood product manufacturing,Other wood product manufacturing,0
2017,Nova Scotia,Wood product manufacturing,Total wood product manufacturing,0
2017,Nova Scotia,Wood product manufacturing,Sawmills and wood preservation,0
2017,Nova Scotia,Wood product manufacturing,Veneer plywood and engineered wood product,0
2017,Nova Scotia,Wood product manufacturing,Other wood product manufacturing,0
2017,Nunavut,Wood product manufacturing,Total wood product manufacturing,0
2017,Nunavut,Wood product manufacturing,Sawmills and wood preservation,0
2017,Nunavut,Wood product manufacturing,Veneer plywood and engineered wood product,0
2017,Nunavut,Wood product manufacturing,Other wood product manufacturing,0
2017,Ontario,Wood product manufacturing,Total wood product manufacturing,8359607
2017,Ontario,Wood product manufacturing,Sawmills and wood preservation,3248088
2017,Ontario,Wood product manufacturing,Veneer plywood and engineered wood product,3117892
2017,Ontario,Wood product manufacturing,Other wood product manufacturing,1993627
2017,Prince Edward Island,Wood product manufacturing,Total wood product manufacturing,0
2017,Prince Edward Island,Wood product manufacturing,Sawmills and wood preservation,0
2017,Prince Edward Island,Wood product manufacturing,Veneer plywood and engineered wood product,0
2017,Prince Edward Island,Wood product manufacturing,Other wood product manufacturing,0
2017,Quebec,Wood product manufacturing,Total wood product manufacturing,14642005
2017,Quebec,Wood product manufacturing,Sawmills and wood preservation,7706418
2017,Quebec,Wood product manufacturing,Veneer plywood and engineered wood product,3845626
2017,Quebec,Wood product manufacturing,Other wood product manufacturing,3089961
2017,Saskatchewan,Wood product manufacturing,Total wood product manufacturing,1423558
2017,Saskatchewan,Wood product manufacturing,Sawmills and wood preservation,303470
2017,Saskatchewan,Wood product manufacturing,Veneer plywood and engineered wood product,1065608
2017,Saskatchewan,Wood product manufacturing,Other wood product manufacturing,54480
2017,Yukon,Wood product manufacturing,Total wood product manufacturing,0
2017,Yukon,Wood product manufacturing,Sawmills and wood preservation,0
2017,Yukon,Wood product manufacturing,Veneer plywood and engineered wood product,0
2017,Yukon,Wood product manufacturing,Other wood product manufacturing,0
2018,Canada,Wood product manufacturing,Total wood product manufacturing,62582084
2018,Canada,Wood product manufacturing,Sawmills and wood preservation,37153646
2018,Canada,Wood product manufacturing,Veneer plywood and engineered wood product,16171566
2018,Canada,Wood product manufacturing,Other wood product manufacturing,9256872
2018,Alberta,Wood product manufacturing,Total wood product manufacturing,8410178
2018,Alberta,Wood product manufacturing,Sawmills and wood preservation,4628032
2018,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product,3001020
2018,Alberta,Wood product manufacturing,Other wood product manufacturing,781126
2018,British Columbia,Wood product manufacturing,Total wood product manufacturing,22974332
2018,British Columbia,Wood product manufacturing,Sawmills and wood preservation,16675698
2018,British Columbia,Wood product manufacturing,Veneer plywood and engineered wood product,4075174
2018,British Columbia,Wood product manufacturing,Other wood product manufacturing,2223460
2018,Manitoba,Wood product manufacturing,Total wood product manufacturing,800299
2018,Manitoba,Wood product manufacturing,Sawmills and wood preservation,457284
2018,Manitoba,Wood product manufacturing,Veneer plywood and engineered wood product,100946
2018,Manitoba,Wood product manufacturing,Other wood product manufacturing,242069
2018,New Brunswick,Wood product manufacturing,Total wood product manufacturing,3214641
2018,New Brunswick,Wood product manufacturing,Sawmills and wood preservation,2284628
2018,New Brunswick,Wood product manufacturing,Veneer plywood and engineered wood product,732374
2018,New Brunswick,Wood product manufacturing,Other wood product manufacturing,197639
2018,Newfoundland and Labrador,Wood product manufacturing,Total wood product manufacturing,0
2018,Newfoundland and Labrador,Wood product manufacturing,Sawmills and wood preservation,0
2018,Newfoundland and Labrador,Wood product manufacturing,Veneer plywood and engineered wood product,0
2018,Newfoundland and Labrador,Wood product manufacturing,Other wood product manufacturing,0
2018,Northwest Territories,Wood product manufacturing,Total wood product manufacturing,0
2018,Northwest Territories,Wood product manufacturing,Sawmills and wood preservation,0
2018,Northwest Territories,Wood product manufacturing,Veneer plywood and engineered wood product,0
2018,Northwest Territories,Wood product manufacturing,Other wood product manufacturing,0
2018,Nova Scotia,Wood product manufacturing,Total wood product manufacturing,0
2018,Nova Scotia,Wood product manufacturing,Sawmills and wood preservation,0
2018,Nova Scotia,Wood product manufacturing,Veneer plywood and engineered wood product,0
2018,Nova Scotia,Wood product manufacturing,Other wood product manufacturing,0
2018,Nunavut,Wood product manufacturing,Total wood product manufacturing,0
2018,Nunavut,Wood product manufacturing,Sawmills and wood preservation,0
2018,Nunavut,Wood product manufacturing,Veneer plywood and engineered wood product,0
2018,Nunavut,Wood product manufacturing,Other wood product manufacturing,0
2018,Ontario,Wood product manufacturing,Total wood product manufacturing,9059917
2018,Ontario,Wood product manufacturing,Sawmills and wood preservation,3601784
2018,Ontario,Wood product manufacturing,Veneer plywood and engineered wood product,3260962
2018,Ontario,Wood product manufacturing,Other wood product manufacturing,2197171
2018,Prince Edward Island,Wood product manufacturing,Total wood product manufacturing,0
2018,Prince Edward Island,Wood product manufacturing,Sawmills and wood preservation,0
2018,Prince Edward Island,Wood product manufacturing,Veneer plywood and engineered wood product,0
2018,Prince Edward Island,Wood product manufacturing,Other wood product manufacturing,0
2018,Quebec,Wood product manufacturing,Total wood product manufacturing,15665165
2018,Quebec,Wood product manufacturing,Sawmills and wood preservation,8304848
2018,Quebec,Wood product manufacturing,Veneer plywood and engineered wood product,3901866
2018,Quebec,Wood product manufacturing,Other wood product manufacturing,3458451
