Year,Jurisdiction,Sector,Employees
2010,British Columbia,Forestry and logging,10585
2010,British Columbia,Paper manufacturing,7638
2010,British Columbia,Support activities for forestry,3662
2010,British Columbia,Wood product manufacturing,24375
2010,Manitoba,Forestry and logging,0
2010,Manitoba,Paper manufacturing,1066
2010,Manitoba,Support activities for forestry,0
2010,Manitoba,Wood product manufacturing,2473
2010,New Brunswick,Forestry and logging,2331
2010,New Brunswick,Paper manufacturing,2992
2010,New Brunswick,Support activities for forestry,594
2010,New Brunswick,Wood product manufacturing,4872
2010,Newfoundland and Labrador,Forestry and logging,463
2010,Newfoundland and Labrador,Paper manufacturing,0
2010,Newfoundland and Labrador,Support activities for forestry,469
2010,Newfoundland and Labrador,Wood product manufacturing,399
2010,Northwest Territories,Forestry and logging,0
2010,Northwest Territories,Paper manufacturing,0
2010,Northwest Territories,Support activities for forestry,45
2010,Northwest Territories,Wood product manufacturing,0
2010,Nova Scotia,Forestry and logging,999
2010,Nova Scotia,Paper manufacturing,3020
2010,Nova Scotia,Support activities for forestry,0
2010,Nova Scotia,Wood product manufacturing,2177
2010,Nunavut,Forestry and logging,0
2010,Nunavut,Paper manufacturing,0
2010,Nunavut,Support activities for forestry,0
2010,Nunavut,Wood product manufacturing,0
2010,Ontario,Forestry and logging,3410
2010,Ontario,Paper manufacturing,19936
2010,Ontario,Support activities for forestry,1182
2010,Ontario,Wood product manufacturing,15797
2010,Prince Edward Island,Forestry and logging,0
2010,Prince Edward Island,Paper manufacturing,0
2010,Prince Edward Island,Support activities for forestry,0
2010,Prince Edward Island,Wood product manufacturing,0
2010,Quebec,Forestry and logging,8061
2010,Quebec,Paper manufacturing,24634
2010,Quebec,Support activities for forestry,3395
2010,Quebec,Wood product manufacturing,29576
2010,Saskatchewan,Forestry and logging,0
2010,Saskatchewan,Paper manufacturing,0
2010,Saskatchewan,Support activities for forestry,0
2010,Saskatchewan,Wood product manufacturing,1101
2010,Yukon,Forestry and logging,0
2010,Yukon,Paper manufacturing,0
2010,Yukon,Support activities for forestry,0
2010,Yukon,Wood product manufacturing,0
2011,Canada,Forestry and logging,29056
2011,Canada,Paper manufacturing,61893
2011,Canada,Support activities for forestry,11122
2011,Canada,Wood product manufacturing,89610
2011,Alberta,Forestry and logging,2322
